#### Data from Potential source areas for atmospheric lead reaching Ny-Ålesund from 2010 to 2018
#### Andrea Bazzano1*, Stefano Bertinetti1, Francisco Ardini1, David Cappelletti2 and Marco Grotti1
#### 1 Department of Chemistry and Industrial Chemistry, University of Genoa, via Dodecaneso 31, 16146, Genoa, Italy
#### 2 Department of Chemistry, Biology and Biotechnologies, University of Perugia, Via Elce Di Sotto 8, 06123, Perugia, Italy
#### * corresponding author: andrea.bazzano@edu.unige.it, orcid id: https://orcid.org/0000-0002-9353-3919
#### Table S2: percentage of monthly BTs calculated from 2010 to 2018 associated to the different geographical macro-sector. 
year,month,eurasia,north_america,arctic_ocean
2010,january,26,20,54
2010,february,100,0,0
2010,march,40,0,60
2010,april,0,0,100
2010,may,42,0,58
2010,june,0,33,67
2010,july,0,64,36
2010,august,0,40,60
2010,september,36,25,39
2010,october,55,45,0
2010,november,0,34,64
2010,december,0,48,52
2011,january,52,48,0
2011,february,67,33,0
2011,march,0,39,61
2011,april,0,69,32
2011,may,0,44,56
2011,june,9,26,66
2011,july,0,50,50
2011,august,0,0,100
2011,september,0,38,63
2011,october,11,38,51
2011,november,0,46,54
2011,december,30,70,0
2012,january,24,76,0
2012,february,39,34,27
2012,march,59,41,0
2012,april,0,0,100
2012,may,0,0,100
2012,june,0,13,87
2012,july,0,0,100
2012,august,0,23,77
2012,september,0,56,44
2012,october,33,43,24
2012,november,32,25,43
2012,december,44,0,56
2013,january,30,17,52
2013,february,25,41,33
2013,march,34,45,21
2013,april,59,41,0
2013,may,0,79,21
2013,june,0,51,49
2013,july,0,56,44
2013,august,0,100,0
2013,september,60,40,0
2013,october,0,24,76
2013,november,38,29,33
2013,december,70,30,0
2014,january,0,0,100
2014,february,100,0,0
2014,march,0,27,73
2014,april,0,0,100
2014,may,0,19,81
2014,june,0,35,65
2014,july,0,71,29
2014,august,0,63,37
2014,september,44,56,0
2014,october,0,34,66
2014,november,40,60,0
2014,december,32,36,32
2015,january,30,21,38
2015,february,49,51,0
2015,march,35,32,32
2015,april,29,0,71
2015,may,0,58,42
2015,june,0,60,40
2015,july,4,32,64
2015,august,0,67,33
2015,september,46,15,39
2015,october,0,42,58
2015,november,34,66,0
2015,december,21,27,52
2016,january,39,61,0
2016,february,48,28,24
2016,march,47,53,0
2016,april,0,25,75
2016,may,0,75,25
2016,june,0,83,16
2016,july,39,18,43
2016,august,0,48,52
2016,september,25,36,39
2016,october,49,51,0
2016,november,70,30,0
2016,december,0,32,68
2017,january,28,18,54
2017,february,50,50,0
2017,march,0,38,62
2017,april,52,48,0
2017,may,0,72,28
2017,june,0,0,100
2017,july,0,70,30
2017,august,0,59,41
2017,september,13,42,46
2017,october,52,0,48
2017,november,22,34,44
2017,december,57,12,30
2018,january,54,18,27
2018,february,0,31,69
2018,march,0,36,64
2018,april,25,76,0
2018,may,0,51,49
2018,june,0,50,50
2018,july,0,100,0
2018,august,0,31,69
2018,september,0,37,63
2018,october,0,34,66
2018,november,0,33,67
2018,december,21,40,40
