#### Pb isotope ratio values for Chinese coals from Bi, X.-Y., Li, Z.-G., Wang, S.-X., Zhang, L., Xu, R., Liu, J.-L., Yang, H.-M., Guo, M.-Z., 2017. Lead Isotopic Compositions of Selected Coals, Pb/Zn Ores and Fuels in China and the Application for Source Tracing. Environ. Sci. Technol. 51, 13502–13508. https://doi.org/10.1021/acs.est.7b04119
#### pb20x20y should be read as 20xPb / 20yPb.
#### Missing data are reported as NA.
region,coal_type,ash_%,pb_mgkg,pb206204,pb206207,pb208206,pb207206
Xinjiang,subbituminous,18.93,2.85,18.58,1.19,2.069,0.8403
Xinjiang,bituminous,7.72,2.96,18.709,1.198,2.062,0.8347
Xinjiang,subbituminous,13.24,2.44,18.714,1.199,2.059,0.834
Xinjiang,subbituminous,21.47,2.97,18.552,1.19,2.069,0.8403
Xinjiang,subbituminous,20.87,3.51,18.637,1.193,2.064,0.8382
Xinjiang,subbituminous,18.37,6.77,18.604,1.192,2.067,0.8389
Xinjiang,subbituminous,13.32,1.29,18.567,1.194,2.064,0.8375
Xinjiang,bituminous,6.13,1.95,18.499,1.189,2.066,0.841
Xinjiang,subbituminous,10.43,0.73,18.402,1.187,2.073,0.8425
Xinjiang,subbituminous,15.82,2.68,18.324,1.182,2.075,0.846
Xinjiang,subbituminous,6.21,2.02,19.098,1.22,2.019,0.8197
Gansu,subbituminous,9.86,2.77,18.726,1.191,2.089,0.8396
Central Inner Mongolia,subbituminous,24.82,27.66,17.699,1.144,2.148,0.8741
Central Inner Mongolia,lignite,61.81,45.41,17.894,1.149,2.156,0.8703
Central Inner Mongolia,subbituminous,25.38,35.16,17.762,1.149,2.143,0.8703
Central Inner Mongolia,lignite,44.64,38.66,17.889,1.153,2.147,0.8673
Central Inner Mongolia,subbituminous,28.39,21.21,17.92,1.156,2.168,0.8651
Central Inner Mongolia,lignite,37.78,23.68,17.731,1.147,2.19,0.8718
Central Inner Mongolia,subbituminous,20.2,6.1,17.845,1.15,2.151,0.8696
Central Inner Mongolia,subbituminous,14.22,5.65,17.837,1.148,2.152,0.8711
Central Inner Mongolia,bituminous,11.4,2.31,17.846,1.151,2.148,0.8688
Central Inner Mongolia,bituminous,6.6,4.59,18.068,1.16,2.126,0.8621
Central Inner Mongolia,subbituminous,16.28,4.08,18.489,1.186,2.079,0.8432
Central Inner Mongolia,subbituminous,18.89,2.43,18.323,1.178,2.096,0.8489
Central Inner Mongolia,bituminous,5.68,1.68,18.548,1.188,2.077,0.8418
Central Inner Mongolia,bituminous,7.26,2.83,18.478,1.188,2.072,0.8418
Eastern Inner Mongolia,subbituminous,18.53,4.58,18.43,1.186,2.081,0.8432
Eastern Inner Mongolia,subbituminous,24.22,4.64,18.6,1.194,2.069,0.8375
Eastern Inner Mongolia,subbituminous,17.45,3.73,18.526,1.187,2.091,0.8425
Eastern Inner Mongolia,subbituminous,17.18,3.33,18.47,1.185,2.083,0.8439
Eastern Inner Mongolia,subbituminous,24.04,4.66,18.495,1.185,2.088,0.8439
Eastern Inner Mongolia,lignite,47.84,18.36,18.678,1.192,2.082,0.8389
Eastern Inner Mongolia,subbituminous,36.24,13.89,18.758,1.204,2.049,0.8306
Eastern Inner Mongolia,subbituminous,13.62,0.41,18.804,1.194,2.076,0.8375
