#### Data from Potential source areas for atmospheric lead reaching Ny-Ålesund from 2010 to 2018
#### Andrea Bazzano1*, Stefano Bertinetti1, Francisco Ardini1, David Cappelletti2 and Marco Grotti1
#### 1 Department of Chemistry and Industrial Chemistry, University of Genoa, via Dodecaneso 31, 16146, Genoa, Italy
#### 2 Department of Chemistry, Biology and Biotechnologies, University of Perugia, Via Elce Di Sotto 8, 06123, Perugia, Italy
#### * corresponding author: andrea.bazzano@edu.unige.it, orcid id: https://orcid.org/0000-0002-9353-3919
#### date reports the sampling data in YYYY-MM-DD format and volume the sampling volume in m3.
#### pb_sign is = for Pb concentrarion data above limit of quantification (LoQ) and < for data below LoQ.
#### pb_val is numeric and it is the measured Pb concentration or LoQ in pg/m3.
#### pb is text and it is the measured Pb concentration or <LoQ in pg/m3.
#### al_ef is the enrichment factor (EF) EF(Pb/Al)c in comparison to the upper continental crust (UCC, Wedepohl 1995).
#### pb20x20y is the value measured for 20xPb / 20yPb isotope ratio.
#### u20x20y is the 95-confidence level uncertainty for the measured 20xPb / 20yPb isotope ratio value.
#### Missing values are reported as NA.
#### Wedepohl 1995: Wedepohl, K.H., 1995. The composition of the continental crust. Geochim. Cosmochim. Acta 58A, 959–960. https://doi.org/10.1180/minmag.1994.58A.2.234
#### (NN-YY)	(YYYY-MM-DD)	m3	-	-	pg/m3	-	-	-	-	-
id	date	volume	pb_sign	pb_val	pb	al_ef	pb208206	u208206	pb207206	u207206
01-10	2010-03-16	1062.68	=	122.1	122.1	370	2.106	0.006	0.862	0.002
02-10	2010-03-20	1582.75	=	8.9	8.9	63	2.108	0.008	0.869	0.003
03-10	2010-03-23	1004.71	=	441.9	441.9	255	2.102	0.005	0.864	0.002
04-10	2010-03-27	1016.6	=	173.8	173.8	82	2.106	0.005	0.865	0.002
05-10	2010-03-31	826.14	=	1428.1	1428.1	183	2.097	0.006	0.863	0.002
06-10	2010-04-08	1073.51	=	150.9	150.9	53	2.104	0.005	0.865	0.002
07-10	2010-04-12	1053.19	=	59.4	59.4	19	2.103	0.005	0.862	0.001
08-10	2010-04-16	739.76	=	71.8	71.8	21	2.105	0.004	0.863	0.001
09-10	2010-04-22	348.84	=	44.9	44.9	32	2.087	0.008	0.863	0.003
10-10	2010-04-24	1042.69	=	38.3	38.3	60	2.1	0.008	0.864	0.004
11-10	2010-04-28	1052.68	=	68.2	68.2	34	2.101	0.006	0.864	0.002
12-10	2010-05-02	2081.14	=	100.9	100.9	31	2.101	0.004	0.863	0.002
13-10	2010-05-10	2178.91	=	42.4	42.4	38	2.105	0.006	0.863	0.001
14-10	2010-05-18	1097.84	=	98.8	98.8	41	2.11	0.004	0.863	0.002
17-10	2010-06-17	1148.89	<	4.5	<4.5	NA	NA	NA	NA	NA
18-10	2010-06-22	1047.04	<	4.5	<4.5	NA	NA	NA	NA	NA
19-10	2010-06-26	1031.11	=	17.3	17.3	7	2.086	0.007	0.86	0.005
20-10	2010-06-30	1002.89	=	84.3	84.3	9	2.095	0.006	0.853	0.003
21-10	2010-07-04	1302.86	=	13.5	13.5	2	2.078	0.009	0.851	0.004
22-10	2010-07-09	1329.44	=	6.1	6.1	11	2.084	0.012	0.859	0.003
23-10	2010-07-14	1267.92	=	10.7	10.7	2	2.061	0.008	0.845	0.003
24-10	2010-07-19	1316.31	=	52.8	52.8	174	2.092	0.007	0.853	0.002
25-10	2010-07-24	1319.02	=	17.6	17.6	24	2.076	0.004	0.856	0.001
26-10	2010-07-29	1041.54	<	4.5	<4.5	NA	NA	NA	NA	NA
27-10	2010-08-02	445.29	=	31.6	31.6	17	2.078	0.012	0.852	0.004
29-10	2010-08-08	1348.79	=	5.3	5.3	4	2.085	0.005	0.859	0.003
30-10	2010-08-14	1323.73	=	17.3	17.3	26	2.092	0.005	0.86	0.003
31-10	2010-08-19	425.35	=	62.5	62.5	27	2.057	0.008	0.842	0.002
32-10	2010-08-24	928.35	=	14	14	13	2.079	0.007	0.857	0.004
33-10	2010-08-28	1061.56	<	4.5	<4.5	NA	NA	NA	NA	NA
34-10	2010-09-01	1009.39	=	6.6	6.6	NA	NA	NA	NA	NA
35-10	2010-09-05	960	<	4.5	<4.5	NA	NA	NA	NA	NA
36-10	2010-09-13	445.03	=	43.5	43.5	23	2.101	0.006	0.859	0.004
01-11	2011-03-29	1148.88	=	555.1	555.1	183	2.109	0.003	0.865	0.001
02-11	2011-04-03	956.87	=	163.2	163.2	60	2.103	0.008	0.864	0.003
03-11	2011-04-07	1008.58	=	126.2	126.2	63	2.116	0.005	0.87	0.002
04-11	2011-04-11	1294.32	<	4.5	<4.5	NA	2.098	0.005	0.86	0.002
09-11	2011-05-01	787.44	=	88.1	88.1	81	2.099	0.004	0.862	0.002
10-11	2011-05-05	786.05	=	113.8	113.8	54	2.102	0.004	0.865	0.001
11-11	2011-05-09	805.96	=	44.1	44.1	39	2.097	0.005	0.863	0.003
12-11	2011-05-13	790.35	=	95.4	95.4	46	2.107	0.007	0.864	0.003
13-11	2011-05-17	761.33	=	74.6	74.6	16	2.109	0.008	0.863	0.003
14-11	2011-05-21	791.53	=	60.4	60.4	24	2.105	0.007	0.861	0.003
15-11	2011-05-25	756.53	=	42.3	42.3	27	2.094	0.006	0.865	0.003
16-11	2011-05-29	861.66	=	27.3	27.3	16	2.097	0.006	0.87	0.002
17-11	2011-06-05	803.32	=	21.4	21.4	43	2.088	0.011	0.866	0.003
18-11	2011-06-09	776.37	=	18.8	18.8	13	2.099	0.008	0.862	0.005
19-11	2011-06-13	776.02	=	91.9	91.9	20	2.102	0.006	0.864	0.003
20-11	2011-06-17	768.09	=	39.6	39.6	NA	NA	NA	NA	NA
21-11	2011-06-21	772.73	<	4.5	<4.5	NA	NA	NA	NA	NA
22-11	2011-06-25	591.2	=	11.2	11.2	NA	NA	NA	NA	NA
23-11	2011-06-29	764.76	=	9.9	9.9	NA	NA	NA	NA	NA
24-11	2011-07-03	771.7	=	11.1	11.1	18	2.098	0.007	0.86	0.003
25-11	2011-07-07	775.62	=	22.8	22.8	22	2.093	0.008	0.86	0.003
26-11	2011-07-10	NA	<	4.5	<4.5	NA	NA	NA	NA	NA
27-11	2011-07-15	763.59	<	4.5	<4.5	NA	NA	NA	NA	NA
28-11	2011-07-19	766.87	=	19	19	NA	NA	NA	NA	NA
29-11	2011-07-23	760.57	=	26.8	26.8	43	2.098	0.008	0.862	0.003
08-12	2012-04-21	1090.68	=	52	52	80	2.108	0.005	0.864	0.003
09-12	2012-04-25	1132.36	=	65.8	65.8	95	2.106	0.006	0.863	0.004
10-12	2012-04-29	1098.59	=	61	61	73	2.103	0.005	0.864	0.003
11-12	2012-05-03	1083.1	=	50.6	50.6	82	2.113	0.007	0.863	0.005
12-12	2012-05-07	1059.76	=	51.3	51.3	47	2.113	0.005	0.864	0.005
14-12	2012-05-15	1087.72	=	121	121	36	2.102	0.006	0.859	0.003
15-12	2012-05-19	1051.59	=	71.4	71.4	33	2.107	0.004	0.861	0.004
16-12	2012-05-23	997.82	=	72.3	72.3	52	2.099	0.006	0.86	0.004
17-12	2012-05-27	1091.42	=	29.3	29.3	27	2.107	0.008	0.86	0.005
18-12	2012-05-31	1040.93	=	39.9	39.9	23	2.109	0.009	0.864	0.005
19-12	2012-06-04	1054.97	=	45.4	45.4	39	2.106	0.007	0.861	0.003
20-12	2012-06-08	1092.18	=	22.8	22.8	41	2.107	0.009	0.863	0.005
21-12	2012-06-12	998.35	=	26.1	26.1	32	2.108	0.008	0.863	0.005
22-12	2012-06-16	1016.03	=	30.8	30.8	124	2.11	0.008	0.865	0.006
23-12	2012-06-20	1013.04	=	7	7	33	2.107	0.012	0.865	0.005
24-12	2012-06-24	1011.73	<	4.5	<4.5	NA	NA	NA	NA	NA
25-12	2012-06-28	1026.34	=	14.9	14.9	130	2.094	0.013	0.859	0.008
26-12	2012-07-02	1003.29	=	29.9	29.9	57	2.092	0.007	0.856	0.005
27-12	2012-07-06	1037.11	=	5.3	5.3	5	2.091	0.027	0.852	0.01
28-12	2012-07-10	1026.3	=	118.2	118.2	73	2.078	0.005	0.851	0.003
29-12	2012-07-14	1029.54	=	28.8	28.8	49	2.092	0.005	0.857	0.004
30-12	2012-07-18	1004.2	=	15.4	15.4	11	2.099	0.011	0.86	0.005
31-12	2012-07-22	1039.81	=	35.5	35.5	71	2.077	0.005	0.851	0.005
32-12	2012-07-26	1045.77	=	24	24	15	2.099	0.008	0.86	0.007
33-12	2012-07-30	1098.77	=	44.2	44.2	67	2.098	0.004	0.86	0.003
34-12	2012-08-03	1075.06	=	32.7	32.7	NA	2.102	0.007	0.865	0.002
35-12	2012-08-07	1074.2	=	45.8	45.8	115	2.09	0.007	0.857	0.003
36-12	2012-08-11	919.08	<	4.5	<4.5	NA	NA	NA	NA	NA
37-12	2012-08-15	1088.64	=	24.5	24.5	54	2.071	0.01	0.852	0.005
39-12	2012-08-23	1074.06	<	4.5	<4.5	NA	NA	NA	NA	NA
40-12	2012-08-27	1073.32	=	41.4	41.4	141	2.09	0.011	0.858	0.005
41-12	2012-08-31	1082.66	=	11.1	11.1	37	2.082	0.022	0.857	0.01
42-12	2012-09-04	1062.7	<	4.5	<4.5	NA	NA	NA	NA	NA
01-13	2013-05-01	803.19	=	42.6	42.6	51	2.105	0.007	0.863	0.002
02-13	2013-05-05	1083.26	=	82.8	82.8	63	2.107	0.003	0.863	0.002
 03-13 	2013-05-09	1071.76	=	6.7	6.7	NA	2.084	0.011	0.863	0.009
 04-13 	2013-05-13	1053.42	=	19.8	19.8	31	2.099	0.01	0.86	0.003
 05-13 	2013-05-17	1071.53	=	24.3	24.3	23	2.095	0.009	0.862	0.003
 06-13 	2013-05-21	1052.71	=	21.8	21.8	42	2.106	0.004	0.866	0.002
 07-13 	2013-05-25	1059.05	=	26	26	17	2.106	0.006	0.862	0.003
 08-13 	2013-05-29	1091.41	=	20.1	20.1	55	2.099	0.006	0.866	0.002
 10-13 	2013-06-06	1083.81	=	26.3	26.3	10	2.092	0.008	0.857	0.001
 11-13 	2013-06-10	1080.93	=	15.6	15.6	26	2.104	0.009	0.865	0.004
 12-13 	2013-06-14	1082.13	<	4.5	<4.5	NA	NA	NA	NA	NA
13-13	2013-06-18	1098.8	=	32.1	32.1	200	2.072	0.003	0.845	0.002
14-13	2013-06-22	1073.29	=	6.2	6.2	NA	2.101	0.004	0.873	0.008
15-13	2013-06-26	1081.78	=	16.8	16.8	40	2.107	0.005	0.865	0.004
16-13	2013-06-30	1092.9	=	30.7	30.7	145	2.101	0.006	0.866	0.004
17-13	2013-07-04	1081.03	=	32.4	32.4	91	2.09	0.007	0.856	0.003
18-13	2013-07-08	1081.96	<	4.5	<4.5	NA	NA	NA	NA	NA
19-13	2013-07-12	1078.63	=	25.2	25.2	8	2.094	0.006	0.86	0.003
20-13	2013-07-16	1078.31	=	14.5	14.5	3	2.098	0.007	0.864	0.005
21-13	2013-07-20	1081.95	=	6.7	6.7	27	2.095	0.011	0.864	0.006
22-13	2013-07-24	1090.07	<	4.5	<4.5	NA	NA	NA	NA	NA
25-13	2013-08-05	1080.18	=	7	7	28	2.062	0.009	0.847	0.003
27-13	2013-08-13	1080.43	<	4.5	<4.5	NA	NA	NA	NA	NA
28-13	2013-08-17	1089.15	=	87	87	443	2.107	0.004	0.873	0.002
29-13	2013-08-21	1099.04	<	4.5	<4.5	NA	NA	NA	NA	NA
31-13	2013-08-29	1083.41	<	4.5	<4.5	NA	NA	NA	NA	NA
32-13	2013-09-02	1082.28	=	14.9	14.9	26	2.103	0.009	0.869	0.004
33-13	2013-09-06	1082.42	=	6.2	6.2	4	2.101	0.012	0.866	0.004
34-13	2013-09-10	784.58	=	24	24	NA	2.057	0.007	0.839	0.002
01-14	2014-03-31	796.76	=	88.5	88.5	68	2.105	0.005	0.864	0.002
02-14	2014-04-04	817.68	=	72.1	72.1	111	2.105	0.002	0.863	0.001
03-14	2014-04-08	799.46	<	4.5	<4.5	NA	2.103	0.004	0.863	0.002
04-14	2014-04-12	799.12	=	85.8	85.8	97	2.109	0.003	0.863	0.002
05-14	2014-04-16	806.6	=	188.1	188.1	NA	2.113	0.004	0.866	0.002
