#### Pb isotope ratio values for mineral samples collected near Ny-Ålesund							
#### pb20x20y should be read as 20xPb/ 20yPb. U columns provide an estimate of measurement uncertainty at 95-confidence level
#### Missing values are reported as NA.
#### Bazzano2014: Bazzano, A., Rivaro, P., Soggia, F., Ardini, F., Grotti, M., 2014. Anthropogenic and natural sources of particulate trace elements in the coastal marine environment of Kongsfjorden, Svalbard. Mar. Chem. 163, 28–35. https://doi.org/10.1016/j.marchem.2014.04.001
#### Grotti2017: Grotti, M., Soggia, F., Ardini, F., Bazzano, A., Moroni, B., Vivani, R., Cappelletti, D., Misic, C., 2017. Trace elements in surface sediments from Kongsfjorden, Svalbard: occurrence, sources and bioavailability. International Journal of Environmental Analytical Chemistry 0, 1–18. https://doi.org/10.1080/03067319.2017.1317762
sample	pb208206	u208206 	pb207206	u207206	site	area	reference
GB-16-9-15 1:10	2.0990	0.0010	0.8530	0.0010	Gruvebadet Laboratory	Ny-Ålesund	unpublished
ZP-08-09-15 1:10	2.0340	0.0020	0.8120	0.0010	Zeppelin Observatory	Ny-Ålesund	unpublished
GB-08-09-15 1:10	2.0430	0.0040	0.8260	0.0010	Gruvebadet Laboratory	Ny-Ålesund	unpublished
ZP-16-09-15 1:10	2.0330	0.0030	0.8090	0.0020	Zeppelin Observatory	Ny-Ålesund	unpublished
road P. 16-09-15 1:10	2.0640	0.0020	0.8270	0.0010	road	Ny-Ålesund	unpublished
road P. 08-09-15 1:10	2.0680	0.0010	0.8280	0.0010	road	Ny-Ålesund	unpublished
A	2.0554	NA	0.8271	NA	Kongsfjorden sediments	Kongsfjorden	Bazzano2014
C	2.0547	NA	0.8292	NA	Kongsfjorden sediments	Kongsfjorden	Bazzano2014
D	2.0511	NA	0.8244	NA	Kongsfjorden sediments	Kongsfjorden	Bazzano2014
III	2.0571	NA	0.8271	NA	Kongsfjorden sediments	Kongsfjorden	Grotti2017
IV	2.0680	NA	0.8292	NA	Kongsfjorden sediments	Kongsfjorden	Grotti2017
V	2.0503	NA	0.8251	NA	Kongsfjorden sediments	Kongsfjorden	Grotti2017
VI	2.0696	NA	0.8285	NA	Kongsfjorden sediments	Kongsfjorden	Grotti2017
VII	2.0628	NA	0.8258	NA	Kongsfjorden sediments	Kongsfjorden	Grotti2017
VIII	2.0545	NA	0.8258	NA	Kongsfjorden sediments	Kongsfjorden	Grotti2017
